uf_sigla;cid;lat;lng
PB;A UNIAO - SUP. DE IMPRENSA E EDITORA;;
PB;AGENCIA DE REGULACAO DO ESTADO DA PARAIBA;;
PB;AGENCIA ESTADUAL DE VIGILANCIA SANITARIA;;
PB;AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB;;
PB;ASSEMBLEIA LEGISLATIVA;-711724;-348777
PB;CASA CIVIL DO GOVERNADOR;;
PB;CASA MILITAR;;
PB;CIA DE DESENVOLVIMENTO DA PARAIBA;;
PB;CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS DA PARAIBA;;
PB;CODATA - CIA DE PROCESSAMENTO DE DADOS DA PARAIBA;;
PB;COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA;;
PB;COMPANHIA DOCAS DA PARAIBA;;
PB;COMPANHIA ESTADUAL DE HABITACAO POPULAR;;
PB;COMPANHIA PARAIBANA DE GAS;;
PB;CONTROLADORIA GERAL DO ESTADO;-7119644;-34857398
PB;CORPO DE BOMBEIROS MILITAR;-711707;-348435
PB;DEFENSORIA PUBLICA DO ESTADO DA PARAIBA;;
PB;DEPARTAMENTO DE ESTRADAS E RODAGEM;;
PB;DEPARTAMENTO ESTADUAL DE TRANSITO;;
PB;EMATER - EMP. DE ASSISTENCIA TECNICA E EXTENCAO RURAL;;
PB;EMEPA - EMP. ESTADUAL DE PESQUISA AGRO. DA PARAIBA;;
PB;EMPASA - EMP. PARAIBANA DE ABAST. E SERV. AGRICOLAS;;
PB;EMPRESA PARAIBANA DE TURISMO SA  -  PB-TUR;;
PB;ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO;;
PB;ESPEP - ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA;;
PB;FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA;;
PB;FUNDACAO CASA DE JOSE AMERICO;;
PB;FUNDACAO CASA DO ESTUDANTE DA PARAIBA;;
PB;FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA;;
PB;FUNDACAO DE ACAO COMUNITARIA;;
PB;FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PB - FAPESQ;;
PB;FUNDACAO ESPACO CULTURAL DA PARAIBA;;
PB;FUNDO DE APOIO A INDUSTRIALIZACAO DO ESTADO DA PARAIBA;;
PB;FUNDO DE APOIO AO DESENV. DA ADMINISTRACAO TRIBUTARIA;;
PB;FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PB;;
PB;FUNDO DE APOIO AO ESPORTE E LAZER DO ESTADO DA PARAIBA;;
PB;FUNDO DE COMBATE E ERRADICACAO DA POBREZA NO ESTADO PB;;
PB;FUNDO DE DESENVOLVIMENTO AGROPECUARIO DO ESTADO DA PB;;
PB;FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA;;
PB;FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANC MUNICIPAL;;
PB;FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS;;
