uf_sigla;cid;url_cidade;json_google;lat;lng
PB;A UNIAO                     ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=A%20UNIAO&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-15,800071;-47,875751
PB;AESA                        ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=AESA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11984;-34,85775
PB;AGEVISA                     ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=AGEVISA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,12617;-34,86854
PB;ARPB                        ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=ARPB&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,123627;-34,868665
PB;ASSEMBLEIA LEGISLATIVA      ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=ASSEMBLEIA%20LEGISLATIVA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11724;-34,8777
PB;CAGEPA                      ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CAGEPA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,1135;-34,83186
PB;CASA MILITAR DO GOVERNADOR  ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CASA%20MILITAR%20DO%20GOVERNADOR&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,120942;-34,884179
PB;CDRM                        ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CDRM&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,252872;-35,887502
PB;CEHAP                       ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CEHAP&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,16123;-34,83914
PB;CINEP                       ;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CINEP&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11981;-34,85116
