uf_sigla;cid;url_cidade;json_google;lat;lng
PB;A UNIAO - SUP, DE IMPRENSA E;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=A%20UNIAO%20-%20SUP,%20DE%20IMPRENSA%20E%20EDITORA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-15,800071;-47,875751
PB;AGENCIA DE REGULACAO DO ESTA;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=AGENCIA%20DE%20REGULACAO%20DO%20ESTADO%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,123627;-34,868665
PB;AGENCIA ESTADUAL DE VIGILANC;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=AGENCIA%20ESTADUAL%20DE%20VIGILANCIA%20SANITARIA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,12617;-34,86854
PB;AGENCIA EXECUTIVA DE GESTAO ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=AGENCIA%20EXECUTIVA%20DE%20GESTAO%20DAS%20AGUAS%20DO%20ESTADO%20DA%20PB&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11984;-34,85775
PB;ASSEMBLEIA LEGISLATIVA      ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=ASSEMBLEIA%20LEGISLATIVA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11724;-34,8777
PB;CASA CIVIL DO GOVERNADOR    ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CASA%20CIVIL%20DO%20GOVERNADOR&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,119;-34,85529
PB;CASA MILITAR                ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CASA%20MILITAR&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,1209;-34,88418
PB;CIA DE DESENVOLVIMENTO DA PA;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CIA%20DE%20DESENVOLVIMENTO%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11981;-34,85116
PB;CIA DE DESENVOLVIMENTO DE RE;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CIA%20DE%20DESENVOLVIMENTO%20DE%20RECURSOS%20MINERAIS%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,252872;-35,887502
PB;CODATA - CIA DE PROCESSAMENT;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CODATA%20-%20CIA%20DE%20PROCESSAMENTO%20DE%20DADOS%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11661;-34,88838
PB;COMPANHIA DE AGUA E ESGOTOS ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=COMPANHIA%20DE%20AGUA%20E%20ESGOTOS%20DO%20ESTADO%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,1135;-34,83186
PB;COMPANHIA DOCAS DA PARAIBA  ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=COMPANHIA%20DOCAS%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-6,97549;-34,83664
PB;COMPANHIA ESTADUAL DE HABITA;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=COMPANHIA%20ESTADUAL%20DE%20HABITACAO%20POPULAR&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,16123;-34,83914
PB;COMPANHIA PARAIBANA DE GAS  ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=COMPANHIA%20PARAIBANA%20DE%20GAS&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11931;-34,8281
PB;CONTROLADORIA GERAL DO ESTAD;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CONTROLADORIA%20GERAL%20DO%20ESTADO&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,119644;-34,857398
PB;CORPO DE BOMBEIROS MILITAR  ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=CORPO%20DE%20BOMBEIROS%20MILITAR&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11707;-34,8435
PB;DEFENSORIA PUBLICA DO ESTADO;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=DEFENSORIA%20PUBLICA%20DO%20ESTADO%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,12208;-34,88064
PB;DEPARTAMENTO DE ESTRADAS E R;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=DEPARTAMENTO%20DE%20ESTRADAS%20E%20RODAGEM&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,13952;-34,88472
PB;DEPARTAMENTO ESTADUAL DE TRA;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=DEPARTAMENTO%20ESTADUAL%20DE%20TRANSITO&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,09737;-34,83684
PB;EMATER - EMP, DE ASSISTENCIA;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=EMATER%20-%20EMP,%20DE%20ASSISTENCIA%20TECNICA%20E%20EXTENCAO%20RURAL&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,13101;-34,86044
PB;EMEPA - EMP, ESTADUAL DE PES;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=EMEPA%20-%20EMP,%20ESTADUAL%20DE%20PESQUISA%20AGRO,%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11829;-34,87559
PB;EMPASA - EMP, PARAIBANA DE A;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=EMPASA%20-%20EMP,%20PARAIBANA%20DE%20ABAST,%20E%20SERV,%20AGRICOLAS&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,16381;-34,86799
PB;EMPRESA PARAIBANA DE TURISMO;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=EMPRESA%20PARAIBANA%20DE%20TURISMO%20SA%20%20-%20%20PB-TUR&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,10632;-34,82811
PB;ENCARGOS GERAIS DO ESTADO - ;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=ENCARGOS%20GERAIS%20DO%20ESTADO%20-%20SUP%20SEC%20ADMINISTRACAO&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,1241;-34,876206
PB;ESPEP - ESCOLA DE SERVICO PU;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=ESPEP%20-%20ESCOLA%20DE%20SERVICO%20PUBLICO%20DO%20ESTADO%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,16556;-34,82852
PB;FUND DESENV CRIANCA E ADOLES;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=FUND%20DESENV%20CRIANCA%20E%20ADOLESCENTE%20ALICE%20ALMEIDA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11672;-34,88161
PB;FUNDACAO CASA DE JOSE AMERIC;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=FUNDACAO%20CASA%20DE%20JOSE%20AMERICO&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,13845;-34,81786
PB;FUNDACAO CASA DO ESTUDANTE D;https://maps,googleapis,com/maps/api/place/nearbysearch/json?name=FUNDACAO%20CASA%20DO%20ESTUDANTE%20DA%20PARAIBA&location=-7,112023,-34,834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11721;-34,88606
