uf_sigla;cid;url_cidade;json_google;lat;lng
PB;A UNIAO - SUP. DE IMPRENSA E EDITORA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=A%20UNIAO%20-%20SUP.%20DE%20IMPRENSA%20E%20EDITORA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-15,800071;-47,875751
PB;AGENCIA DE REGULACAO DO ESTADO DA PARAIBA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=AGENCIA%20DE%20REGULACAO%20DO%20ESTADO%20DA%20PARAIBA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,123627;-34,868665
PB;AGENCIA ESTADUAL DE VIGILANCIA SANITARIA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=AGENCIA%20ESTADUAL%20DE%20VIGILANCIA%20SANITARIA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,12617;-34,86854
PB;AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=AGENCIA%20EXECUTIVA%20DE%20GESTAO%20DAS%20AGUAS%20DO%20ESTADO%20DA%20PB&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11984;-34,85775
PB;ASSEMBLEIA LEGISLATIVA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=ASSEMBLEIA%20LEGISLATIVA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11724;-34,8777
PB;CASA CIVIL DO GOVERNADOR;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CASA%20CIVIL%20DO%20GOVERNADOR&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,119;-34,85529
PB;CASA MILITAR;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CASA%20MILITAR&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,1209;-34,88418
PB;CIA DE DESENVOLVIMENTO DA PARAIBA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CIA%20DE%20DESENVOLVIMENTO%20DA%20PARAIBA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11981;-34,85116
PB;CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS DA PARAIBA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CIA%20DE%20DESENVOLVIMENTO%20DE%20RECURSOS%20MINERAIS%20DA%20PARAIBA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,252872;-35,887502
PB;CODATA - CIA DE PROCESSAMENTO DE DADOS DA PARAIBA;https://maps.googleapis.com/maps/api/place/nearbysearch/json?name=CODATA%20-%20CIA%20DE%20PROCESSAMENTO%20DE%20DADOS%20DA%20PARAIBA&location=-7.112023,-34.834362&rankby=distance&key=AIzaSyCYzCGQBne1-xEN09hEsFCz0bNrgn1tiMo;;-7,11661;-34,88838
